,date,country,which_device,medium_grouped,which_page_altered,sessions,funnel_sessions,par
733,20180301,Ireland,mobile_web,organic,landingpage,141,126,0.8936170212765957
734,20180301,Ireland,mobile_web,organic,others,3,2,0.6666666666666666
735,20180301,Ireland,mobile_web,referral,homepage,8,3,0.375
736,20180301,Ireland,windows,affiliate,homepage,4,3,0.75
737,20180301,Ireland,windows,cpc,homepage,24,16,0.6666666666666666
738,20180301,Ireland,windows,direct,homepage,40,28,0.7
739,20180301,Ireland,windows,display,homepage,2,2,1.0
740,20180301,Ireland,windows,email,homepage,2,1,0.5
741,20180301,Ireland,windows,organic,homepage,65,50,0.7692307692307693
742,20180301,Ireland,windows,organic,landingpage,95,92,0.968421052631579
743,20180301,Ireland,windows,referral,homepage,10,7,0.7
744,20180301,Ireland,windows,referral,landingpage,2,1,0.5
745,20180301,Israel,mobile_web,affiliate,homepage,2,2,1.0
